date,hour,numberOfLanes,numberOfBlocks
3/28,10:00 AM,1,1
3/28,11:00 AM,1,1
3/28,12:00 PM,1,1
3/28,1:00 PM,1,1
3/28,2:00 PM,1,1
3/29,7:00 AM,2,1
3/29,8:00 AM,2,1
3/29,9:00 AM,2,1
3/29,10:00 AM,2,1
3/29,11:00 AM,2,1
3/29,12:00 PM,2,1
3/29,1:00 PM,2,1
3/29,2:00 PM,2,1
3/29,3:00 PM,2,1
3/29,4:00 PM,2,1
3/29,5:00 PM,2,1
3/29,6:00 PM,2,1
3/29,7:00 PM,2,1
3/29,8:00 PM,2,1
3/29,9:00 PM,2,1
3/29,10:00 PM,2,1
3/29,11:00 PM,2,1
3/29,11:00 PM,1,1
3/30,12:00 AM,1,1
3/30,1:00 AM,1,1
3/30,2:00 AM,1,1
3/30,3:00 AM,1,1
3/30,4:00 AM,1,1
3/30,11:00 PM,1,1
3/31,12:00 AM,1,1
3/31,1:00 AM,1,1
3/31,2:00 AM,1,1
3/31,3:00 AM,1,1
3/31,4:00 AM,1,1
3/31,5:00 AM,1,1
4/12,5:00 AM,1,2
4/12,6:00 AM,1,2
4/12,7:00 AM,1,2
4/12,8:00 AM,1,2
4/12,9:00 AM,1,2
4/12,10:00 AM,1,2
4/12,11:00 AM,1,2
4/12,12:00 PM,1,2
4/12,1:00 PM,1,2
4/12,2:00 PM,1,2
4/12,3:00 PM,1,2
4/12,4:00 PM,1,2
4/12,5:00 PM,1,2
4/12,6:00 PM,1,2
4/12,7:00 PM,1,2
4/12,8:00 PM,1,1
4/12,9:00 PM,1,1
4/12,10:00 PM,1,1
4/12,11:00 PM,1,1
4/13,12:00 AM,1,1
4/13,1:00 AM,1,1
4/13,2:00 AM,1,1
4/13,3:00 AM,1,1
4/13,4:00 AM,1,1
4/13,5:00 AM,1,2
4/13,6:00 AM,1,2
4/13,7:00 AM,1,2
4/13,8:00 AM,1,2
4/13,9:00 AM,1,2
4/13,10:00 AM,1,2
4/13,11:00 AM,1,2
4/13,12:00 PM,1,2
4/13,1:00 PM,1,2
4/13,2:00 PM,1,2
4/13,3:00 PM,1,2
4/13,4:00 PM,1,2
4/13,5:00 PM,1,2
4/13,6:00 PM,1,2
4/13,7:00 PM,1,2
4/13,8:00 PM,1,1
4/13,9:00 PM,1,1
4/13,10:00 PM,1,1
4/13,11:00 PM,1,1
4/14,12:00 AM,1,1
4/14,1:00 AM,1,1
4/14,2:00 AM,1,1
4/14,3:00 AM,1,1
4/14,4:00 AM,1,1
4/18,5:00 AM,1,2
4/18,6:00 AM,1,2
4/18,7:00 AM,1,2
4/18,8:00 AM,1,2
4/18,9:00 AM,1,2
4/18,10:00 AM,1,2
4/18,11:00 AM,1,2
4/18,12:00 PM,1,2
4/18,1:00 PM,1,2
4/18,2:00 PM,1,2
4/18,3:00 PM,1,2
4/18,4:00 PM,1,2
4/18,5:00 PM,1,2
4/18,6:00 PM,1,2
4/18,7:00 PM,1,2
4/19,7:00 AM,1,4
4/19,8:00 AM,1,4
4/19,9:00 AM,1,4
4/19,10:00 AM,1,4
4/19,11:00 AM,1,4
4/19,12:00 PM,1,4
4/19,1:00 PM,1,4
4/19,2:00 PM,1,4
4/19,3:00 PM,1,4
4/19,4:00 PM,1,3
4/19,5:00 PM,1,3
4/19,6:00 PM,1,3
4/19,7:00 PM,1,3
4/19,8:00 PM,1,3
4/19,9:00 PM,1,3
4/19,10:00 PM,1,3
4/19,11:00 PM,1,3
4/20,12:00 AM,1,3
4/20,1:00 AM,1,3
4/20,2:00 AM,1,3
4/20,3:00 AM,1,3
4/20,4:00 AM,1,3
4/20,5:00 AM,1,3
4/20,6:00 AM,1,3
4/20,7:00 AM,1,3
4/20,8:00 AM,1,3
4/20,9:00 AM,1,3
4/20,10:00 AM,1,3
4/20,11:00 AM,1,3
4/20,12:00 PM,1,3
4/20,1:00 PM,1,3
4/20,2:00 PM,1,3
4/20,3:00 PM,1,3
4/20,4:00 PM,1,3
4/20,5:00 PM,1,3
4/20,6:00 PM,1,3
4/20,7:00 PM,1,3
4/20,8:00 PM,1,1
4/20,9:00 PM,1,1
4/20,10:00 PM,1,1
4/20,11:00 PM,1,1
4/21,12:00 AM,1,1
4/21,1:00 AM,1,1
4/21,2:00 AM,1,1
4/21,3:00 AM,1,1
4/21,4:00 AM,1,1
4/25,9:00 AM,1,1
4/25,10:00 AM,1,1
4/25,11:00 AM,1,1
4/25,12:00 PM,1,1
4/25,1:00 PM,1,1
4/25,2:00 PM,1,1
4/26,7:00 AM,1,2
4/26,8:00 AM,1,2
4/26,9:00 AM,1,2
4/26,10:00 AM,1,2
4/26,11:00 AM,1,2
4/26,12:00 PM,1,2
4/26,1:00 PM,1,2
4/26,2:00 PM,1,2
4/26,3:00 PM,1,2
4/26,4:00 PM,1,2
4/26,5:00 PM,1,2
4/26,6:00 PM,1,2
4/26,7:00 PM,1,2
4/26,8:00 PM,1,2
4/26,9:00 PM,1,2
4/26,10:00 PM,1,2
4/26,11:00 PM,1,2
4/27,12:00 AM,1,2
4/27,1:00 AM,1,2
4/27,2:00 AM,1,2
4/27,3:00 AM,1,2
4/27,4:00 AM,1,2
4/27,5:00 AM,1,2
4/27,6:00 AM,1,2
4/27,7:00 AM,1,2
4/27,8:00 AM,1,2
4/27,9:00 AM,1,2
4/27,10:00 AM,1,2
4/27,11:00 AM,1,2
4/27,12:00 PM,1,2
4/27,1:00 PM,1,2
4/27,2:00 PM,1,2
4/27,3:00 PM,1,2
4/27,4:00 PM,1,2
4/27,5:00 PM,1,2
4/27,6:00 PM,1,2
4/27,7:00 PM,1,2
